,new_cases
97516,25320.0
97517,26291.0
97518,24492.0
97519,28903.0
97520,35871.0
97521,39726.0
97522,40953.0
97523,43846.0
97524,46951.0
97525,40715.0
97526,47262.0
97527,53476.0
97528,59118.0
97529,62258.0
97530,62714.0
97531,68020.0
97532,56211.0
97533,53480.0
97534,72330.0
97535,81466.0
97536,89129.0
97537,93249.0
97538,103558.0
97539,96982.0
97540,115736.0
97541,126789.0
97542,131968.0
97543,145384.0
97544,152879.0
97545,168912.0
97546,161736.0
97547,184372.0
97548,200739.0
97549,217353.0
97550,234692.0
97551,261394.0
97552,273802.0
97553,259167.0
97554,295158.0
97555,314644.0
97556,332921.0
97557,346786.0
97558,349691.0
97559,352991.0
97560,323023.0
97561,360927.0
97562,379308.0
97563,386555.0
97564,401993.0
97565,392488.0
97566,368060.0
97567,357316.0
97568,382146.0
97569,412431.0
97570,414188.0
97571,401078.0
97572,403405.0
97573,366494.0
97574,329942.0
97575,348421.0
97576,362727.0
97577,343144.0
97578,326098.0
97579,311170.0
97580,281386.0
97581,263533.0
97582,267334.0
97583,276110.0
97584,259551.0
97585,257299.0
97586,240842.0
97587,222315.0
97588,196427.0
97589,208921.0
97590,211298.0
97591,186364.0
97592,173790.0
97593,165553.0
97594,152734.0
97595,127510.0
97596,132788.0
97597,134154.0
97598,132364.0
97599,120529.0
97600,114460.0
97601,100636.0
97602,86498.0
97603,92596.0
97604,93463.0
97605,92291.0
97606,84332.0
97607,80834.0
97608,70421.0
97609,60471.0
97610,62224.0
97611,67208.0
97612,62480.0
97613,60753.0
97614,58226.0
97615,53449.0
97616,42640.0
97617,50848.0
97618,54069.0
97619,51667.0
97620,48698.0
97621,50040.0
97622,46148.0
97623,37566.0
97624,45951.0
97625,48786.0
97626,46617.0
97627,44111.0
97628,43071.0
97629,39796.0
97630,34703.0
97631,43733.0
97632,45892.0
97633,43393.0
97634,42766.0
97635,41506.0
97636,37154.0
97637,32906.0
97638,38865.0
97639,41733.0
97640,38949.0
97641,38079.0
97642,41157.0
97643,38164.0
97644,30093.0
97645,42015.0
97646,41383.0
97647,35342.0
97648,39097.0
97649,39742.0
97650,39361.0
97651,29689.0
97652,43654.0
97653,43509.0
97654,44230.0
97655,41649.0
97656,41831.0
97657,40134.0
97658,30549.0
97659,42625.0
97660,42982.0
97661,44643.0
97662,38628.0
97663,39070.0
97664,35499.0
97665,28204.0
97666,38353.0
97667,41195.0
97668,40120.0
97669,38667.0
97670,36083.0
97671,32937.0
97672,25166.0
97673,35178.0
97674,36401.0
97675,36571.0
97676,34457.0
97677,30948.0
97678,25072.0
97679,25467.0
97680,37593.0
97681,46164.0
97682,44658.0
97683,46759.0
97684,45083.0
97685,42909.0
97686,30941.0
97687,41965.0
97688,47092.0
97689,45352.0
97690,42618.0
97691,42766.0
97692,38948.0
97693,31222.0
97694,37875.0
97695,43263.0
97696,34973.0
97697,33376.0
97698,28591.0
97699,27254.0
97700,25404.0
97701,27176.0
97702,30570.0
97703,34403.0
97704,35662.0
97705,30773.0
97706,30256.0
97707,26115.0
97708,26964.0
97709,31923.0
97710,31382.0
97711,29616.0
97712,28326.0
97713,26041.0
97714,18795.0
97715,18870.0
97716,23529.0
97717,26727.0
97718,24354.0
97719,22842.0
97720,20799.0
97721,18346.0
97722,18833.0
97723,22431.0
97724,21257.0
97725,19740.0
97726,18166.0
97727,18132.0
97728,14313.0
97729,15823.0
97730,18987.0
97731,16862.0
97732,15981.0
97733,14146.0
97734,13596.0
97735,13058.0
97736,14623.0
97737,18454.0
97738,15786.0
97739,16326.0
97740,15906.0
97741,14306.0
97742,12428.0
97743,13451.0
97744,16156.0
97745,14348.0
97746,14313.0
97747,12830.0
97748,12514.0
97749,10423.0
97750,11903.0
97751,12885.0
97752,12729.0
97753,10929.0
97754,10826.0
97755,11478.0
97756,10126.0
97757,11466.0
97758,13091.0
97759,12516.0
97760,11850.0
97761,11271.0
97762,10229.0
97763,8865.0
97764,10197.0
97765,11919.0
97766,11106.0
97767,10302.0
97768,10488.0
97769,8488.0
97770,7579.0
97771,9283.0
97772,9119.0
97773,10549.0
97774,8318.0
97775,8774.0
97776,8309.0
97777,6990.0
97778,8954.0
97779,9765.0
97780,9216.0
97781,8603.0
97782,0.0
97783,17201.0
97784,6822.0
97785,8439.0
97786,9419.0
97787,8402.0
97788,7990.0
97789,7877.0
97790,7350.0
97791,5784.0
97792,6984.0
97793,7974.0
97794,7447.0
97795,0.0
97796,7145.0
97797,13644.0
97798,5326.0
97799,6317.0
97800,7495.0
97801,6650.0
97802,7189.0
97803,6987.0
97804,6531.0
97805,6358.0
97806,9195.0
97807,13154.0
97808,16764.0
97809,22775.0
97810,27553.0
97811,33750.0
97812,37379.0
97813,58097.0
97814,90928.0
97815,117100.0
97816,141986.0
97817,159632.0
97818,179723.0
97819,168063.0
97820,194720.0
97821,247417.0
97822,264202.0
97823,268833.0
97824,271202.0
97825,258089.0
97826,238018.0
97827,282970.0
97828,317532.0
97829,347254.0
97830,337704.0
97831,333533.0
97832,306064.0
97833,255874.0
97834,285914.0
97835,286384.0
97836,251209.0
97837,235532.0
97838,234281.0
97839,209918.0
97840,167059.0
97841,161386.0
97842,172433.0
97843,149394.0
97844,127952.0
97845,107474.0
97846,83876.0
97847,67597.0
97848,71365.0
97849,67084.0
97850,58077.0
97851,50407.0
97852,44877.0
97853,34113.0
97854,27409.0
97855,30615.0
97856,30757.0
97857,25920.0
97858,22270.0
97859,19968.0
97860,16051.0
97861,13405.0
97862,15102.0
97863,14148.0
97864,13166.0
97865,11499.0
97866,10273.0
97867,8013.0
97868,6915.0
97869,7554.0
97870,6561.0
97871,6396.0
97872,5921.0
97873,5476.0
97874,4362.0
97875,3993.0
97876,4575.0
97877,4184.0
97878,4194.0
97879,3614.0
97880,3116.0
97881,2503.0
97882,2568.0
97883,2876.0
97884,2539.0
97885,2528.0
97886,2075.0
97887,1761.0
97888,1549.0
97889,1581.0
97890,1778.0
97891,1938.0
97892,1685.0
97893,1660.0
97894,1421.0
97895,1270.0
97896,1259.0
97897,1233.0
97898,1225.0
97899,1335.0
97900,1260.0
97901,1096.0
97902,913.0
97903,795.0
97904,1086.0
97905,1033.0
97906,1109.0
97907,1150.0
97908,1054.0
97909,861.0
97910,796.0
97911,1088.0
97912,1007.0
97913,949.0
97914,975.0
97915,1150.0
97916,2183.0
97917,1247.0
97918,2067.0
97919,2380.0
97920,2451.0
97921,2527.0
97922,2593.0
97923,2541.0
97924,11.0
97925,5399.0
97926,3303.0
97927,3377.0
97928,3688.0
97929,3324.0
97930,3157.0
97931,2568.0
97932,3205.0
97933,3275.0
97934,3545.0
97935,3805.0
97936,3451.0
97937,3207.0
97938,2288.0
97939,2897.0
97940,2827.0
97941,2841.0
97942,2858.0
97943,2487.0
97944,2202.0
97945,1569.0
97946,1829.0
97947,2364.0
97948,2259.0
97949,2323.0
97950,2226.0
97951,2022.0
97952,1675.0
97953,2124.0
97954,2628.0
97955,2710.0
97956,2685.0
97957,2828.0
97958,2706.0
97959,2338.0
97960,2745.0
97961,3712.0
97962,4041.0
97963,3962.0
97964,4270.0
97965,4518.0
97966,3714.0
97967,5233.0
97968,7240.0
97969,7584.0
97970,8329.0
97971,8582.0
97972,8084.0
97973,6594.0
97974,8822.0
97975,12213.0
97976,12847.0
97977,13216.0
97978,12899.0
97979,12781.0
97980,9923.0
97981,12249.0
97982,13313.0
97983,17336.0
97984,15940.0
97985,11739.0
97986,17073.0
97987,11793.0
97988,14506.0
97989,18819.0
97990,17070.0
97991,17092.0
97992,16103.0
97993,16135.0
97994,13086.0
97995,16159.0
97996,18930.0
97997,18815.0
97998,18840.0
97999,18257.0
98000,16678.0
98001,13615.0
98002,16906.0
98003,20139.0
98004,20038.0
98005,20044.0
98006,20528.0
98007,16935.0
98008,15528.0
98009,18616.0
98010,23050.0
98011,22337.0
98012,21411.0
98013,20279.0
98014,16866.0
98015,14830.0
98016,18313.0
98017,20557.0
98018,20409.0
98019,20408.0
98020,19673.0
98021,16464.0
98022,13734.0
98023,17135.0
98024,19893.0
98025,20551.0
98026,19406.0
98027,18715.0
98028,0.0
98029,28941.0
98030,16047.0
98031,16299.0
98032,16561.0
98033,15815.0
98034,14092.0
98035,14917.0
98036,9330.0
98037,8545.0
98038,12608.0
98039,15754.0
98040,13272.0
98041,11539.0
98042,9531.0
98043,8586.0
98044,10649.0
98045,10725.0
98046,10256.0
98047,9520.0
98048,9436.0
98049,7591.0
98050,0.0
98051,0.0
98052,20616.0
98053,6168.0
98054,7219.0
98055,6809.0
98056,5910.0
98057,4417.0
98058,2799.0
98059,8975.0
98060,6093.0
98061,5554.0
98062,5076.0
98063,5221.0
98064,1783.0
98065,7694.0
98066,6422.0
98067,6298.0
98068,5747.0
98069,5664.0
98070,4858.0
98071,4043.0
98072,1922.0
98073,8031.0
98074,5383.0
98075,4912.0
98076,4777.0
98077,4129.0
98078,3230.0
98079,3615.0
98080,4272.0
98081,3947.0
98082,3805.0
98083,3375.0
98084,3011.0
98085,1968.0
98086,2426.0
98087,2571.0
98088,1997.0
98089,2797.0
98090,2756.0
98091,2424.0
98092,1957.0
98093,
98094,5084.0
98095,2678.0
98096,2430.0
98097,2401.0
98098,2060.0
98099,1542.0
98100,1946.0
98101,2141.0
98102,2119.0
98103,2112.0
98104,1994.0
98105,1334.0
98106,862.0
98107,830.0
98108,1112.0
